gene,log2fold,p_mwu,p_wilcoxon,p_student,p_corr,interesting
1110003O08Rik,-0.00907692307692365,0.794991443257963,0.63382956026544,0.897573403151989,0.849336963131935,FALSE
1110004E09Rik,0.132256410256412,0.00617725158806045,3.01E-05,0.00639920848311959,0.0156109815528547,FALSE
1110004F10Rik,0.049769230769229,0.170956591848625,0.166765743539145,0.264287049402901,0.253179557006843,FALSE
1110005A03Rik,-0.0305897435897418,0.865092708316228,0.683850737521425,0.539031424651487,0.902978630378145,FALSE
1110006G14Rik,-0.227846153846153,6.14E-05,3.26E-07,2.37E-05,0.000295911578435066,TRUE
1110006O24Rik,0.0334358974358935,0.519198580514861,0.322156130601798,0.449735988664072,0.614491771419881,FALSE
1110007A13Rik,0.0240256410256379,0.282687302028277,0.379636879726604,0.347608900100843,0.379475205576466,FALSE
1110007C09Rik,-0.128692307692306,3.22E-05,1.34E-05,7.01E-06,0.000171312465634772,FALSE
1110007L15Rik,-0.130128205128205,0.000843900056353212,0.00036470439954428,0.000406498378751947,0.00282332852597021,FALSE
1110008E08Rik,-0.151589743589739,0.00219094238290179,0.000495354644954205,0.000938109123483165,0.00640415202753055,FALSE
1110008F13Rik,-0.0204871794871799,0.390087889557271,0.267247275161816,0.472470053358648,0.49026685076651,FALSE
1110008J03Rik,0.160589743589743,1.62E-05,0.000104591588751646,3.67E-05,9.49E-05,FALSE
1110008L16Rik,0.0648717948717952,0.0204121525829942,0.0310879359822138,0.0319104124937145,0.0431220601813257,FALSE
1110008P14Rik,-0.13246153846154,0.00978493687327434,0.00224235595669597,0.00361415472765615,0.023079966565814,FALSE
1110012D08Rik,-0.0626410256410317,0.0630532258299605,0.0561791277541488,0.0804338976806685,0.110373767064757,FALSE
1110012J17Rik,0.0750000000000011,0.110937209739673,0.061973718682566,0.0657665208644684,0.176796223382114,FALSE
1110012L19Rik,-0.0858846153846127,0.269473583822159,0.209119254410325,0.164235703732595,0.365690223912794,FALSE
1110014N23Rik,-0.0285897435897446,0.0501432500663923,0.258568274301069,0.360684897198182,0.0911186590295237,FALSE
1110015M06Rik,0.0436153846153857,0.139099852047341,0.134727817832754,0.187902463766053,0.213523284982688,FALSE
1110017D15Rik,0.0305128205128176,0.282662953007058,0.426538607945986,0.423380276948784,0.379475205576466,FALSE
1110017F19Rik,0.162897435897436,0.00051482938273438,0.000180038772668922,0.000521949327792548,0.00185086871752026,FALSE
1110018G07Rik,-0.0716666666666654,0.0689356228619929,0.0161471992250881,0.0502759952665573,0.118888218014029,FALSE
1110018H23Rik,-0.0320256410256388,0.200831848354854,0.372133013293933,0.472453375008587,0.288191635424429,FALSE
1110018J18Rik,0.0556666666666672,0.195587800869109,0.0985539299072116,0.199906210825617,0.282427645253897,FALSE
1110020C03Rik,-0.0191025641025657,0.512720246708221,0.575910347670288,0.618495348868569,0.608333537663426,FALSE
1110020C17Rik,0.276487179487181,1.61E-06,9.47E-07,1.48E-07,1.34E-05,TRUE
1110020G09Rik,-0.0188461538461517,0.968112015638416,0.928548201754893,0.480980809350032,0.979054896193548,FALSE
1110020P15Rik,0.013230769230768,0.355257067270017,0.547897983396979,0.682002704112931,0.455225811024932,FALSE
1110021J02Rik,0.14494871794872,0.00179035244959039,4.40E-05,0.000921835229477799,0.00541031947571106,FALSE
1110021L09Rik,-0.0378205128205131,0.376460552241789,0.459557507547288,0.288254014234772,0.477031907484465,FALSE
1110028C15Rik,0.272589743589741,3.13E-06,1.28E-06,4.61E-07,2.34E-05,TRUE
1110030E23Rik,0.141923076923074,0.00108349497219332,0.000342672832630342,0.00210858958281667,0.00352079967829212,FALSE
1110032A03Rik,-0.221102564102564,0.000254541241892336,3.64E-12,0.000119375522691582,0.00101089485069858,TRUE
1110032A04Rik,0.0539230769230779,0.220857491207322,0.0665741912410806,0.169179811813707,0.311213107900731,FALSE
1110032A13Rik,0.166102564102564,4.09E-06,7.70E-07,1.72E-06,2.93E-05,FALSE
1110032E23Rik,0.105897435897436,0.0109770619436134,0.0197126108323573,0.00938099165269419,0.0254755451320952,FALSE
1110032F04Rik,0.0217692307692321,0.376466587596611,0.372133013293933,0.579461925694176,0.477031907484465,FALSE
1110034A24Rik,0.141910256410256,9.74E-07,2.91E-07,2.17E-07,8.76E-06,FALSE
1110034B05Rik,0.0709487179487169,0.102267415113595,0.0956834299613547,0.103121555872776,0.165076221481807,FALSE
1110034G24Rik,0.0625641025641031,0.0242208842366524,0.0561791277541488,0.0727489739379287,0.0497770363341837,FALSE
1110036O03Rik,0.114358974358975,0.00728941679769155,0.00749151515992708,0.00320432881704364,0.0179770549457994,FALSE
1110037F02Rik,0.0790341880341892,0.0143488492475343,0.00304284239246044,0.00850802149753146,0.0320349709762998,FALSE
1110038D17Rik,0.0182051282051301,0.663759442820801,0.735266100193257,0.644578771928407,0.743099122640821,FALSE
1110038F14Rik,-0.0065384615384616,0.365767634927034,0.653658153976721,0.855167643010911,0.466191983039107,FALSE
1110049B09Rik,-0.0165897435897424,0.54875575353612,0.276680232596846,0.626312676750004,0.641319470463485,FALSE
1110049F12Rik,-0.0229230769230764,0.849405789360335,0.663663909686875,0.58946798602372,0.891373888362084,FALSE
1110051M20Rik,-0.0783076923076918,0.0341211493904672,0.0268039416623651,0.0240108176144889,0.0661356981632151,FALSE
1110054O05Rik,0.0200256410256419,0.752918439655461,0.809191335847572,0.615647195602248,0.81600109842046,FALSE
1110057K04Rik,0.166871794871794,4.73E-07,2.53E-06,1.46E-06,4.72E-06,FALSE
1110057P08Rik,-0.114153846153844,0.00608338648730095,0.00653972276268178,0.00362043084725082,0.0153995359203173,FALSE
1110058L19Rik,-0.108141025641022,0.00426152209295089,0.000120096792670665,0.00154355977412861,0.0113420691003879,FALSE
1110059E24Rik,-0.12071794871795,0.0063668983028809,0.000841054421471199,0.00441815704422517,0.0160103983900366,FALSE
1110059G10Rik,-0.0396923076923077,0.415378186485669,0.643712874083576,0.465341378855453,0.515680162719729,FALSE
1110059M19Rik,-0.140717948717948,0.000235385794188422,0.000495354644954205,0.000235583644646216,0.000944438423812409,FALSE
1110065P20Rik,0.117871794871792,1.77E-05,5.50E-05,5.12E-05,0.000102566631215764,FALSE
1110067D22Rik,-0.0578461538461532,0.39009388367226,0.264514153954224,0.256565129136923,0.49026685076651,FALSE
1190002A17Rik,0.185923076923073,7.93E-06,3.05E-06,5.76E-06,5.14E-05,FALSE
1190002H23Rik,-0.0281025641025687,0.565533954237225,0.426538607945986,0.420001165017261,0.656531566094012,FALSE
1190002N15Rik,0.0501025641025628,0.363122018090916,0.0883778380894539,0.382305274918813,0.463422955626673,FALSE
1190003J15Rik,-0.0735128205128195,0.00319652897335954,0.00139060635046917,0.00408368362001761,0.00887576948495971,FALSE
1190003M12Rik,0.389153846153849,1.85E-12,3.64E-11,9.30E-18,2.42E-10,TRUE
1190005F20Rik,-0.0470769230769204,0.151539810154085,0.224796796785085,0.19643645133274,0.229233217472541,FALSE
1190005I06Rik,0.166384615384615,6.82E-05,0.000168459788255859,7.67E-05,0.000324699746618656,FALSE
1190007F08Rik,-0.0504871794871811,0.0472866309095108,0.101491100140265,0.13641039720635,0.0867920218009128,FALSE
1190007I07Rik,-0.137564102564102,0.00419417207653458,0.00408722642896464,0.00878204609932417,0.0111845418916518,FALSE
1200009F10Rik,-0.061461538461538,0.0556435069689304,0.0477499941677385,0.10013870045457,0.0994797259026309,FALSE
1200009I06Rik,0.00602564102564074,0.787292482988036,0.585392383949511,0.848666998054367,0.843340169174555,FALSE
1200009O22Rik,-0.0530641025641039,0.126265175551922,0.10756911372664,0.108138725709658,0.197044914182363,FALSE
1200011I18Rik,-0.00612820512820456,0.76813163980785,0.906649769516662,0.860338562039501,0.827856467182027,FALSE
1200011M11Rik,-0.0809743589743599,0.0065621143684911,0.0299665838902001,0.0111142204042131,0.0164264744831324,FALSE
