code	country	continent	population
GER	Germany	Europe	83
USA	United States of America	America	327
FRA	France	Europe	67
JPN	Japan	Asia	127
CZE	Czech Republic	Europe	10.5
BEL	Belgium	Europe	11.3
GBR	United Kingdom	Europe	66
CHN	China	Asia	1386
CAN	Canada	America	37
BRA	Brazil	America	210
